domisili,jenis_kelamin,marriage_stat,dependant,education,absent_90D,avg_time_work,departemen,position,income,total_komp,job_satisfaction,performance_rating,age_years,active_work,income_3_months,income_6_months,total_income_work,income_dependant_ratio,work_efficiency,active_work_category,work_stability_score,position_score,job_income_position_score,education_score,education_income_ratio,weighted_satisfaction_performance
Kota Bekasi,Perempuan,Single,0,SLTA,12.0,9.04,Marketing,Staff,2554135.0,0.0,High,Excellent,27,581,7662405.0,15324810.0,48528565.0,2554135.0,1.13,Mid-term,1.4615384615384617,1,2554135.0,1,2554135.0,3.0
Kota Jakarta Utara,Laki-laki,Single,0,D2,0.0,9.2,Operations,Manager,8651300.665663097,0.0,High,Excellent,43,835,25953901.99698929,51907803.99397858,233585117.9729036,8651300.665663097,1.15,Mid-term,27.0,4,2162825.1664157743,3,2883766.888554366,3.0
Kabupaten Bogor,Perempuan,Single,0,SLTA,9.0,9.11,HR,Staff,1327585.0,0.0,Medium,Good,26,441,3982755.0,7965510.0,18586190.0,1327585.0,1.13875,Mid-term,1.4,1,1327585.0,1,1327585.0,2.0
Kota Jakarta Utara,Perempuan,Married,2,SLTA,0.0,9.07,HR,Senior,12330256.98155472,0.0,High,Outstanding,49,418,36990770.944664165,73981541.88932833,160293340.76021138,4110085.66051824,1.13375,Mid-term,13.0,3,4110085.66051824,1,12330256.98155472,3.4
Tangerang,Perempuan,Married,3,D3,5.0,9.21,Corporate Strategy & Communications,Manager,10432017.023906762,0.0,High,Outstanding,46,900,31296051.071720287,62592102.143440574,312960510.71720284,2608004.2559766904,1.15125,Mid-term,5.0,4,2608004.2559766904,4,2608004.2559766904,3.4
Tangerang,Perempuan,Married,1,SLTA,11.0,9.24,HR,Staff,1866083.0,0.0,High,Low,40,386,5598249.0,11196498.0,22392996.0,933041.5,1.155,Mid-term,1.0,1,1866083.0,1,1866083.0,2.2
Kabupaten Bogor,Laki-laki,Married,0,D1,5.0,9.21,Corporate Strategy & Communications,Senior,10688490.526781894,0.0,Very High,Outstanding,51,841,32065471.580345683,64130943.160691366,299277734.74989307,10688490.526781894,1.15125,Mid-term,4.666666666666667,3,3562830.1755939648,2,5344245.263390947,4.0
Kota Jakarta Barat,Laki-laki,Married,1,SLTA,0.0,9.42,Corporate Strategy & Communications,Staff,1778437.0,0.0,Low,Low,32,417,5335311.0,10670622.0,23119681.0,889218.5,1.1775,Mid-term,13.0,1,1778437.0,1,1778437.0,1.0
Kota Bogor,Laki-laki,Single,0,SLTA,10.0,9.85,HR,Staff,2443725.0,0.0,Low,Good,29,491,7331175.0,14662350.0,39099600.0,2443725.0,1.23125,Mid-term,1.4545454545454546,1,2443725.0,1,2443725.0,1.4
Kabupaten Bogor,Perempuan,Married,1,SLTA,12.0,9.8,Marketing,Staff,1798725.0,0.0,High,Good,28,433,5396175.0,10792350.0,25182150.0,899362.5,1.225,Mid-term,1.0769230769230769,1,1798725.0,1,1798725.0,2.6
Kabupaten Bekasi,Perempuan,Married,1,SLTA,0.0,9.77,Creative & Design,Staff,1291466.0,0.0,Low,Low,32,762,3874398.0,7748796.0,32286650.0,645733.0,1.22125,Mid-term,25.0,1,1291466.0,1,1291466.0,1.0
Kota Depok,Perempuan,Single,0,SLTA,3.0,9.73,Finance & Accounting,Staff,1046332.0,0.0,High,Excellent,25,384,3138996.0,6277992.0,12555984.0,1046332.0,1.21625,Mid-term,3.0,1,1046332.0,1,1046332.0,3.0
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,0.0,9.38,Marketing,Senior,9942616.5306588,0.0,High,Outstanding,55,414,29827849.5919764,59655699.1839528,129254014.8985644,2485654.1326647,1.1725,Mid-term,13.0,3,3314205.5102196,1,9942616.5306588,3.4
Kabupaten Bogor,Laki-laki,Married,3,D3,1.0,9.55,Operations,Senior,7022277.216489017,0.0,High,Outstanding,49,942,21066831.64946705,42133663.2989341,217690593.7111596,1755569.3041222545,1.19375,Mid-term,15.5,3,2340759.072163006,4,1755569.3041222545,3.4
Kota Jakarta Timur,Perempuan,Single,0,SLTA,10.0,9.3,Operations,Staff,2590561.0,0.0,Medium,Good,32,802,7771683.0,15543366.0,67354586.0,2590561.0,1.1625,Mid-term,2.363636363636364,1,2590561.0,1,2590561.0,2.0
Kota Jakarta Timur,Laki-laki,Married,2,SLTA,9.0,9.51,Operations,Manager,8225921.975230516,0.0,High,Outstanding,48,793,24677765.92569155,49355531.8513831,213873971.35599345,2741973.991743505,1.18875,Mid-term,2.6,4,2056480.493807629,1,8225921.975230516,3.4
Kota Jakarta Barat,Perempuan,Married,3,D1,8.0,9.84,Operations,Staff,3273694.0,0.0,Low,Excellent,40,495,9821082.0,19642164.0,52379104.0,818423.5,1.23,Mid-term,1.7777777777777777,1,3273694.0,2,1636847.0,1.8000000000000005
Kota Depok,Perempuan,Single,0,SLTA,1.0,9.62,Corporate Strategy & Communications,Staff,1477607.0,0.0,High,Good,27,548,4432821.0,8865642.0,26596926.0,1477607.0,1.2025,Mid-term,9.0,1,1477607.0,1,1477607.0,2.6
Kota Jakarta Barat,Laki-laki,Married,2,D3,3.0,9.53,Engineering & IT,Senior,8258132.88555433,0.0,High,Excellent,44,927,24774398.656663,49548797.31332599,247743986.56662992,2752710.961851444,1.19125,Mid-term,7.5,3,2752710.961851444,4,2064533.2213885824,3.0
Kota Jakarta Timur,Laki-laki,Divorce,1,SLTA,9.0,9.25,Service & Support,Staff,2877573.0,0.0,High,Good,37,441,8632719.0,17265438.0,40286022.0,1438786.5,1.15625,Mid-term,1.4,1,2877573.0,1,2877573.0,2.6
Kota Jakarta Selatan,Perempuan,Married,4,D3,5.0,9.28,Creative & Design,Manager,10480629.73636709,0.0,Very High,Outstanding,52,902,31441889.209101267,62883778.41820253,314418892.0910127,2096125.9472734176,1.16,Mid-term,5.0,4,2620157.4340917724,4,2620157.4340917724,4.0
Kota Jakarta Barat,Laki-laki,Married,2,SLTA,13.0,9.26,Corporate Strategy & Communications,Senior,8249173.647919707,0.0,High,Outstanding,44,444,24747520.94375912,49495041.88751824,115488431.0708759,2749724.549306569,1.1575,Mid-term,1.0,3,2749724.549306569,1,8249173.647919707,3.4
Kota Jakarta Timur,Perempuan,Married,1,SLTA,9.0,9.21,Creative & Design,Staff,2198002.0,0.0,Low,Good,35,811,6594006.0,13188012.0,59346054.0,1099001.0,1.15125,Mid-term,2.7,1,2198002.0,1,2198002.0,1.4
Tangerang,Laki-laki,Divorce,2,D1,3.0,9.67,Engineering & IT,Staff,3074204.0,0.0,Medium,Excellent,33,455,9222612.0,18445224.0,46113060.0,1024734.6666666666,1.20875,Mid-term,3.75,1,3074204.0,2,1537102.0,2.4000000000000004
Kota Jakarta Utara,Perempuan,Married,0,SLTA,1.0,9.34,Finance & Accounting,Senior,8895902.262230664,0.0,Very High,Outstanding,50,407,26687706.786692,53375413.57338399,115646729.40899864,8895902.262230664,1.1675,Mid-term,6.5,3,2965300.7540768883,1,8895902.262230664,4.0
Kota Jakarta Selatan,Laki-laki,Divorce,1,D1,5.0,9.36,Corporate Strategy & Communications,Staff,3809274.0,0.0,Medium,Low,35,879,11427822.0,22855644.0,110468946.0,1904637.0,1.17,Mid-term,4.833333333333333,1,3809274.0,2,1904637.0,1.6
Kepulauan Seribu,Laki-laki,Married,0,D2,6.0,9.42,Finance & Accounting,Staff,3671264.0,0.0,Medium,Low,23,427,11013792.0,22027584.0,51397696.0,3671264.0,1.1775,Mid-term,2.0,1,3671264.0,3,1223754.6666666667,1.6
Kota Jakarta Selatan,Laki-laki,Divorce,3,SLTA,4.0,9.5,Service & Support,Manager,8036990.245162403,0.0,High,Outstanding,41,1018,24110970.735487208,48221941.470974416,265220678.0903593,2009247.5612906008,1.1875,Mid-term,6.6,4,2009247.5612906008,1,8036990.245162403,3.4
Kota Jakarta Barat,Laki-laki,Married,1,D2,4.0,9.18,Creative & Design,Staff,4174663.0,0.0,Low,Good,27,479,12523989.0,25047978.0,62619945.0,2087331.5,1.1475,Mid-term,3.0,1,4174663.0,3,1391554.3333333333,1.4
Kota Jakarta Timur,Perempuan,Married,0,D2,4.0,9.79,Operations,Manager,6397159.967102956,0.0,High,Outstanding,47,397,19191479.901308868,38382959.802617736,83163079.57233843,6397159.967102956,1.22375,Mid-term,2.6,4,1599289.991775739,3,2132386.6557009853,3.4
Tangerang,Perempuan,Single,0,SLTA,9.0,9.52,Creative & Design,Staff,2391528.0,0.0,Medium,Good,28,408,7174584.0,14349168.0,31089864.0,2391528.0,1.19,Mid-term,1.3,1,2391528.0,1,2391528.0,2.0
Kabupaten Bogor,Perempuan,Married,5,SLTA,2.0,9.45,Creative & Design,Manager,11723285.90859793,0.0,High,Excellent,48,430,35169857.72579379,70339715.45158757,164126002.720371,1953880.9847663213,1.18125,Mid-term,4.666666666666667,4,2930821.4771494824,1,11723285.90859793,3.0
Kota Jakarta Selatan,Perempuan,Married,1,D3,1.0,9.83,Operations,Senior,7833903.344245356,0.0,High,Outstanding,44,442,23501710.032736067,47003420.06547213,109674646.81943496,3916951.672122678,1.22875,Mid-term,7.0,3,2611301.114748452,4,1958475.836061339,3.4
Kota Depok,Laki-laki,Married,1,SLTA,12.0,9.07,Marketing,Staff,1824329.0,0.0,High,Low,29,390,5472987.0,10945974.0,23716277.0,912164.5,1.13375,Mid-term,1.0,1,1824329.0,1,1824329.0,2.2
Tangerang,Perempuan,Single,0,SLTA,2.0,9.49,Operations,Staff,2149943.0,0.0,High,Low,24,819,6449829.0,12899658.0,58048461.0,2149943.0,1.18625,Mid-term,9.0,1,2149943.0,1,2149943.0,2.2
Kabupaten Bekasi,Laki-laki,Married,3,D1,2.0,9.88,Corporate Strategy & Communications,Senior,7128692.114323121,0.0,Very High,Excellent,51,438,21386076.34296936,42772152.68593872,99801689.60052368,1782173.02858078,1.235,Mid-term,4.666666666666667,3,2376230.7047743737,2,3564346.0571615603,3.6
Kota Jakarta Utara,Laki-laki,Married,0,SLTA,10.0,9.62,Creative & Design,Staff,2288793.0,0.0,Low,Good,40,813,6866379.0,13732758.0,61797411.0,2288793.0,1.2025,Mid-term,2.4545454545454546,1,2288793.0,1,2288793.0,1.4
Tangerang,Laki-laki,Married,1,D2,8.0,9.02,Creative & Design,Staff,3080313.0,0.0,Medium,Good,40,817,9240939.0,18481878.0,83168451.0,1540156.5,1.1275,Mid-term,3.0,1,3080313.0,3,1026771.0,2.0
Kota Jakarta Barat,Laki-laki,Married,0,SLTA,8.0,9.31,HR,Staff,2618609.0,0.0,High,Excellent,32,451,7855827.0,15711654.0,39279135.0,2618609.0,1.16375,Mid-term,1.6666666666666667,1,2618609.0,1,2618609.0,3.0
Kota Jakarta Pusat,Laki-laki,Married,3,D1,2.0,9.88,Engineering & IT,Manager,9942538.217423486,0.0,Very High,Excellent,50,418,29827614.65227046,59655229.30454092,129252996.82650532,2485634.5543558714,1.235,Mid-term,4.333333333333333,4,2485634.5543558714,2,4971269.108711743,3.6
Tangerang,Perempuan,Married,2,SLTA,0.0,9.03,Creative & Design,Staff,1222768.0,0.0,Low,Low,32,749,3668304.0,7336608.0,29346432.0,407589.3333333333,1.12875,Mid-term,0.0,1,1222768.0,1,1222768.0,1.0
Kabupaten Bogor,Laki-laki,Single,0,D3,2.0,9.8,Corporate Strategy & Communications,Staff,3574907.0,0.0,High,Good,36,421,10724721.0,21449442.0,50048698.0,3574907.0,1.225,Mid-term,4.666666666666667,1,3574907.0,4,893726.75,2.6
Kabupaten Bekasi,Laki-laki,Married,0,SLTA,6.0,9.4,Operations,Staff,2892610.0,0.0,High,Low,31,843,8677830.0,17355660.0,80993080.0,2892610.0,1.175,Mid-term,4.0,1,2892610.0,1,2892610.0,2.2
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,4.0,9.17,Operations,Manager,13291473.583748791,0.0,High,Outstanding,47,439,39874420.75124638,79748841.50249276,186080630.1724831,3322868.395937198,1.14625,Mid-term,2.8,4,3322868.395937198,1,13291473.583748791,3.4
Kepulauan Seribu,Laki-laki,Single,0,SLTA,9.0,9.02,HR,Staff,1234956.0,0.0,Medium,Excellent,26,751,3704868.0,7409736.0,30873900.0,1234956.0,1.1275,Mid-term,2.5,1,1234956.0,1,1234956.0,2.4000000000000004
Kabupaten Bekasi,Perempuan,Married,3,D2,1.0,9.33,Marketing,Staff,4653798.0,0.0,Medium,Low,40,453,13961394.0,27922788.0,69806970.0,1163449.5,1.16625,Mid-term,7.5,1,4653798.0,3,1551266.0,1.6
Kota Depok,Perempuan,Married,2,D1,6.0,9.85,Creative & Design,Staff,3879209.0,0.0,High,Excellent,32,844,11637627.0,23275254.0,108617852.0,1293069.6666666667,1.23125,Mid-term,4.0,1,3879209.0,2,1939604.5,3.0
Kota Jakarta Timur,Perempuan,Married,1,SLTA,9.0,9.71,Service & Support,Staff,1167461.0,0.0,Low,Good,30,447,3502383.0,7004766.0,16344454.0,583730.5,1.21375,Mid-term,1.4,1,1167461.0,1,1167461.0,1.4
Kota Jakarta Selatan,Perempuan,Married,2,SLTA,5.0,9.28,Engineering & IT,Senior,8921393.784716258,0.0,High,Excellent,49,401,26764181.35414877,53528362.70829755,115978119.20131136,2973797.9282387528,1.16,Mid-term,2.1666666666666665,3,2973797.9282387528,1,8921393.784716258,3.0
Kota Depok,Perempuan,Married,2,D1,7.0,9.31,Finance & Accounting,Senior,6968778.010371698,0.0,High,Outstanding,50,793,20906334.03111509,41812668.062230185,181188228.2696641,2322926.003457233,1.16375,Mid-term,3.25,3,2322926.003457233,2,3484389.005185849,3.4
Kota Bekasi,Laki-laki,Married,2,SLTA,3.0,9.72,Finance & Accounting,Staff,1441424.0,0.0,Medium,Excellent,33,422,4324272.0,8648544.0,20179936.0,480474.6666666667,1.215,Mid-term,3.5,1,1441424.0,1,1441424.0,2.4000000000000004
Kota Jakarta Pusat,Laki-laki,Divorce,1,D1,5.0,9.55,Engineering & IT,Staff,4940618.0,0.0,Medium,Low,30,940,14821854.0,29643708.0,153159158.0,2470309.0,1.19375,Mid-term,5.166666666666667,1,4940618.0,2,2470309.0,1.6
Kabupaten Bogor,Perempuan,Married,1,D3,3.0,9.88,Engineering & IT,Staff,4430505.0,0.0,Low,Excellent,29,1014,13291515.0,26583030.0,146206665.0,2215252.5,1.235,Mid-term,8.25,1,4430505.0,4,1107626.25,1.8000000000000005
Kabupaten Bekasi,Perempuan,Married,2,SLTA,7.0,9.17,HR,Manager,13280522.401429106,0.0,High,Outstanding,46,863,39841567.20428732,79683134.40857464,371854627.240015,4426840.8004763685,1.14625,Mid-term,3.5,4,3320130.6003572764,1,13280522.401429106,3.4
Kota Jakarta Utara,Laki-laki,Married,3,SLTA,8.0,9.5,Service & Support,Manager,14975236.41429804,0.0,Very High,Outstanding,44,745,44925709.24289412,89851418.48578824,359405673.94315296,3743809.10357451,1.1875,Mid-term,2.6666666666666665,4,3743809.10357451,1,14975236.41429804,4.0
Kota Jakarta Selatan,Perempuan,Married,5,SLTA,4.0,9.63,Marketing,Manager,9299194.50657352,0.0,Very High,Outstanding,55,460,27897583.51972056,55795167.03944112,139487917.5986028,1549865.7510955867,1.20375,Mid-term,3.0,4,2324798.62664338,1,9299194.50657352,4.0
Kota Jakarta Utara,Laki-laki,Single,0,SLTA,0.0,9.16,Finance & Accounting,Staff,2221089.0,0.0,Medium,Low,24,395,6663267.0,13326534.0,28874157.0,2221089.0,1.145,Mid-term,0.0,1,2221089.0,1,2221089.0,1.6
Kota Jakarta Selatan,Laki-laki,Married,3,SLTA,13.0,9.77,Finance & Accounting,Staff,1667763.0,0.0,Low,Good,30,381,5003289.0,10006578.0,20013156.0,416940.75,1.22125,Mid-term,0.8571428571428571,1,1667763.0,1,1667763.0,1.4
Kota Depok,Perempuan,Single,0,SLTA,7.0,9.25,HR,Staff,2826613.0,0.0,High,Low,27,920,8479839.0,16959678.0,84798390.0,2826613.0,1.15625,Mid-term,3.75,1,2826613.0,1,2826613.0,2.2
Kota Jakarta Timur,Perempuan,Married,3,SLTA,0.0,9.24,Service & Support,Manager,10141483.703547465,0.0,High,Excellent,46,407,30424451.1106424,60848902.22128479,131839288.14611705,2535370.925886866,1.155,Mid-term,13.0,4,2535370.925886866,1,10141483.703547465,3.0
Kabupaten Bekasi,Laki-laki,Married,1,SLTA,13.0,9.13,Service & Support,Staff,1319727.0,0.0,Low,Low,29,942,3959181.0,7918362.0,40911537.0,659863.5,1.14125,Mid-term,2.2142857142857144,1,1319727.0,1,1319727.0,1.0
Kabupaten Bogor,Laki-laki,Married,3,SLTA,0.0,9.29,Marketing,Senior,14930577.8149418,0.0,Very High,Outstanding,41,814,44791733.4448254,89583466.88965079,403125601.0034286,3732644.45373545,1.16125,Mid-term,27.0,3,4976859.271647266,1,14930577.8149418,4.0
Kabupaten Bogor,Laki-laki,Single,0,SLTA,6.0,9.01,Marketing,Manager,14064300.305628275,0.0,Very High,Excellent,47,419,42192900.916884825,84385801.83376965,182835903.9731676,14064300.305628275,1.12625,Mid-term,1.8571428571428568,4,3516075.076407069,1,14064300.305628275,3.6
Kota Jakarta Selatan,Perempuan,Single,0,SLTA,10.0,9.4,Service & Support,Staff,2246868.0,0.0,High,Good,29,808,6740604.0,13481208.0,58418568.0,2246868.0,1.175,Mid-term,2.363636363636364,1,2246868.0,1,2246868.0,2.6
Tangerang,Perempuan,Married,1,SLTA,10.0,9.84,Marketing,Staff,2227208.0,0.0,Low,Good,31,471,6681624.0,13363248.0,33408120.0,1113604.0,1.23,Mid-term,1.3636363636363635,1,2227208.0,1,2227208.0,1.4
Kota Jakarta Pusat,Perempuan,Married,2,D2,2.0,9.19,Operations,Staff,4863474.0,0.0,Medium,Low,40,862,14590422.0,29180844.0,136177272.0,1621158.0,1.14875,Mid-term,9.333333333333334,1,4863474.0,3,1621158.0,1.6
Kepulauan Seribu,Laki-laki,Married,2,SLTA,0.0,9.81,Corporate Strategy & Communications,Staff,1367983.0,0.0,Medium,Low,34,786,4103949.0,8207898.0,35567558.0,455994.3333333333,1.22625,Mid-term,26.0,1,1367983.0,1,1367983.0,1.6
Kota Jakarta Barat,Laki-laki,Married,0,SLTA,8.0,9.41,Service & Support,Staff,2649946.0,0.0,Low,Good,28,491,7949838.0,15899676.0,42399136.0,2649946.0,1.17625,Mid-term,1.7777777777777777,1,2649946.0,1,2649946.0,1.4
Kota Jakarta Barat,Laki-laki,Single,0,D2,7.0,9.45,Service & Support,Staff,4413010.0,0.0,High,Low,28,650,13239030.0,26478060.0,92673210.0,4413010.0,1.18125,Mid-term,2.625,1,4413010.0,3,1471003.3333333333,2.2
Kota Jakarta Barat,Laki-laki,Married,1,SLTA,0.0,9.38,Finance & Accounting,Staff,1181637.0,0.0,Medium,Low,29,400,3544911.0,7089822.0,15361281.0,590818.5,1.1725,Mid-term,13.0,1,1181637.0,1,1181637.0,1.6
Kota Bogor,Laki-laki,Married,1,SLTA,7.0,9.79,Operations,Staff,2981144.0,0.0,Medium,Excellent,38,472,8943432.0,17886864.0,44717160.0,1490572.0,1.22375,Mid-term,1.875,1,2981144.0,1,2981144.0,2.4000000000000004
Kota Depok,Perempuan,Married,1,SLTA,10.0,9.78,Engineering & IT,Staff,2176827.0,0.0,Medium,Excellent,40,451,6530481.0,13060962.0,32652405.0,1088413.5,1.2225,Mid-term,1.3636363636363635,1,2176827.0,1,2176827.0,2.4000000000000004
Kota Jakarta Timur,Laki-laki,Married,3,D2,7.0,9.51,Marketing,Manager,6863051.766716185,0.0,High,Outstanding,52,425,20589155.300148554,41178310.60029711,96082724.7340266,1715762.9416790465,1.18875,Mid-term,1.75,4,1715762.9416790465,3,2287683.9222387285,3.4
Tangerang,Laki-laki,Married,3,D1,5.0,9.51,Engineering & IT,Manager,10131804.865751816,0.0,Very High,Excellent,45,456,30395414.59725545,60790829.19451089,151977072.98627725,2532951.216437954,1.18875,Mid-term,2.5,4,2532951.216437954,2,5065902.432875908,3.6
Kota Depok,Laki-laki,Married,0,D3,1.0,9.74,Marketing,Staff,3130778.0,0.0,Medium,Excellent,24,497,9392334.0,18784668.0,50092448.0,3130778.0,1.2175,Mid-term,8.0,1,3130778.0,4,782694.5,2.4000000000000004
Kota Jakarta Timur,Laki-laki,Married,3,D1,5.0,9.13,Creative & Design,Senior,8078303.185582436,0.0,High,Outstanding,45,837,24234909.556747302,48469819.11349461,218114186.01072577,2019575.796395609,1.14125,Mid-term,4.5,3,2692767.7285274784,2,4039151.592791218,3.4
Kota Jakarta Barat,Laki-laki,Single,0,SLTA,0.0,9.28,Finance & Accounting,Staff,1201673.0,0.0,High,Excellent,25,401,3605019.0,7210038.0,15621749.0,1201673.0,1.16,Mid-term,13.0,1,1201673.0,1,1201673.0,3.0
Kabupaten Bogor,Perempuan,Married,3,D1,5.0,9.53,Marketing,Manager,8514461.871170381,0.0,Very High,Outstanding,42,888,25543385.613511145,51086771.22702229,246919394.26394105,2128615.467792596,1.19125,Mid-term,4.833333333333333,4,2128615.467792596,2,4257230.935585191,4.0
Kabupaten Bekasi,Laki-laki,Married,2,D2,3.0,9.49,Corporate Strategy & Communications,Manager,6443685.222674611,0.0,High,Outstanding,51,929,19331055.668023832,38662111.336047664,193310556.6802384,2147895.07422487,1.18625,Mid-term,7.5,4,1610921.3056686528,3,2147895.07422487,3.4
Kota Jakarta Utara,Laki-laki,Single,0,SLTA,0.0,9.77,HR,Senior,9320019.172963992,0.0,Very High,Excellent,41,423,27960057.51889197,55920115.03778395,130480268.42149588,9320019.172963992,1.22125,Mid-term,14.0,3,3106673.057654664,1,9320019.172963992,3.6
Kota Jakarta Timur,Laki-laki,Married,3,SLTA,12.0,9.41,Creative & Design,Senior,11832746.784090197,0.0,High,Excellent,51,407,35498240.35227059,70996480.70454118,153825708.19317254,2958186.696022549,1.17625,Mid-term,1.0,3,3944248.9280300657,1,11832746.784090197,3.0
Kabupaten Bogor,Laki-laki,Married,3,SLTA,3.0,9.39,Finance & Accounting,Senior,13472093.794030882,0.0,Very High,Outstanding,41,750,40416281.38209265,80832562.7641853,336802344.8507721,3368023.4485077206,1.17375,Mid-term,6.25,3,4490697.931343627,1,13472093.794030882,4.0
Kota Jakarta Pusat,Perempuan,Single,0,D2,5.0,9.19,Service & Support,Staff,4586047.0,0.0,Low,Good,34,408,13758141.0,27516282.0,59618611.0,4586047.0,1.14875,Mid-term,2.1666666666666665,1,4586047.0,3,1528682.3333333333,1.4
Kota Jakarta Pusat,Laki-laki,Married,3,SLTA,13.0,9.76,Service & Support,Manager,10574732.623025663,0.0,Very High,Excellent,54,761,31724197.86907699,63448395.73815398,264368315.5756416,2643683.155756416,1.22,Mid-term,1.7857142857142858,4,2643683.155756416,1,10574732.623025663,3.6
Kabupaten Bekasi,Perempuan,Married,2,SLTA,0.0,9.75,Finance & Accounting,Staff,1224402.0,0.0,High,Low,32,428,3673206.0,7346412.0,17141628.0,408134.0,1.21875,Mid-term,14.0,1,1224402.0,1,1224402.0,2.2
Kota Jakarta Timur,Perempuan,Single,0,D2,6.0,9.8,HR,Staff,4047847.0,0.0,Medium,Excellent,37,399,12143541.0,24287082.0,52622011.0,4047847.0,1.225,Mid-term,1.8571428571428568,1,4047847.0,3,1349282.3333333333,2.4000000000000004
Kepulauan Seribu,Laki-laki,Single,0,SLTA,12.0,9.17,Marketing,Staff,1419898.0,0.0,Medium,Good,24,416,4259694.0,8519388.0,18458674.0,1419898.0,1.14625,Mid-term,1.0,1,1419898.0,1,1419898.0,2.0
Kota Jakarta Selatan,Laki-laki,Married,3,D2,6.0,9.45,Corporate Strategy & Communications,Senior,8282754.620516679,0.0,Very High,Outstanding,42,541,24848263.86155004,49696527.72310007,149089583.16930023,2070688.6551291696,1.18125,Mid-term,2.571428571428572,3,2760918.206838893,3,2760918.206838893,4.0
Kota Jakarta Barat,Laki-laki,Married,2,D1,3.0,9.81,Corporate Strategy & Communications,Staff,3617933.0,0.0,Low,Excellent,40,964,10853799.0,21707598.0,115773856.0,1205977.6666666667,1.22625,Mid-term,8.0,1,3617933.0,2,1808966.5,1.8000000000000005
Kabupaten Bekasi,Laki-laki,Married,2,SLTA,0.0,9.03,Service & Support,Senior,9156662.857853562,0.0,High,Excellent,44,760,27469988.573560685,54939977.14712137,228916571.44633904,3052220.952617854,1.12875,Mid-term,0.0,3,3052220.952617854,1,9156662.857853562,3.0
Tangerang,Laki-laki,Married,2,SLTA,13.0,9.24,Service & Support,Staff,1719081.0,0.0,Medium,Good,38,414,5157243.0,10314486.0,22348053.0,573027.0,1.155,Mid-term,0.9285714285714286,1,1719081.0,1,1719081.0,2.0
Kabupaten Bekasi,Perempuan,Married,1,SLTA,0.0,9.29,Creative & Design,Senior,11055296.906829832,0.0,High,Excellent,42,483,33165890.72048949,66331781.44097899,176884750.5092773,5527648.453414916,1.16125,Mid-term,16.0,3,3685098.968943277,1,11055296.906829832,3.0
