domisili,jenis_kelamin,marriage_stat,dependant,education,absent_90D,avg_time_work,departemen,position,income,total_komp,job_satisfaction,performance_rating,age_years,active_work,income_3_months,income_6_months,total_income_work,absence_ratio,income_dependant_ratio,work_efficiency,active_work_category,work_stability_score,married_dependent_ratio,position_score,job_income_position_score,education_score,education_income_ratio,weighted_satisfaction_performance,resign_risk_indicator,adjusted_work_time
Tangerang,Laki-laki,Divorce,1,SLTA,13.0,9.35,Marketing,Staff,1551424,0.0,Low,Low,33.0,423,4654272,9308544,21719936,2.7659574468085104,775712.0,1.16875,Mid-term,1.0,1,1,1551424.0,1,1551424.0,1.0,Medium,9.25360824742268
Kota Jakarta Utara,Laki-laki,Married,2,SLTA,5.0,9.24,Engineering & IT,Staff,2383717,0.0,Medium,Low,42.0,450,7151151,14302302,35755755,1.0,794572.3333333334,1.155,Mid-term,2.5,3,1,2383717.0,1,2383717.0,1.6,Medium,9.20580310880829
Kota Jakarta Timur,Laki-laki,Single,0,D3,7.0,9.31,Operations,Staff,3456793,0.0,High,Good,29.0,607,10370379,20740758,69135860,1.037891268533773,3456793.0,1.16375,Mid-term,2.5,1,1,3456793.0,4,864198.25,2.6,Medium,9.273814547473629
Kota Jakarta Barat,Perempuan,Married,2,SLTA,9.0,9.16,HR,Staff,2894637,0.0,Low,Excellent,34.0,413,8683911,17367822,37630281,1.961259079903148,964879.0,1.145,Mid-term,1.3,3,1,2894637.0,1,2894637.0,1.8000000000000005,Medium,9.089598633646457
Kota Bogor,Laki-laki,Married,0,SLTA,8.0,9.35,Engineering & IT,Staff,2516060,0.0,Low,Good,32.0,432,7548180,15096360,35224840,1.6666666666666667,2516060.0,1.16875,Mid-term,1.5555555555555556,1,1,2516060.0,1,2516060.0,1.4,Medium,9.290681998413955
Kota Jakarta Selatan,Laki-laki,Married,1,D2,6.0,9.26,Finance & Accounting,Staff,4534379,0.0,Low,Good,45.0,587,13603137,27206274,86153201,0.919931856899489,2267189.5,1.1575,Mid-term,2.7142857142857144,2,1,4534379.0,3,1511459.6666666667,1.4,Medium,9.227527761542955
Kota Depok,Perempuan,Single,0,SLTA,3.0,9.73,Finance & Accounting,Staff,1046332,0.0,High,Excellent,25.0,384,3138996,6277992,12555984,0.703125,1046332.0,1.21625,Mid-term,3.0,1,1,1046332.0,1,1046332.0,3.0,Medium,9.70299722479186
Kabupaten Bogor,Laki-laki,Married,2,D3,7.0,9.82,Finance & Accounting,Staff,3968971,0.0,Medium,Good,49.0,844,11906913,23813826,111131188,0.7464454976303317,1322990.3333333333,1.2275,Mid-term,3.5,3,1,3968971.0,4,992242.75,2.0,Medium,9.792733042443476
Kota Jakarta Barat,Perempuan,Married,1,SLTA,13.0,9.43,Finance & Accounting,Staff,1520590,0.0,Low,Excellent,33.0,764,4561770,9123540,38014750,1.531413612565445,760295.0,1.17875,Mid-term,1.7857142857142858,2,1,1520590.0,1,1520590.0,1.8000000000000005,Medium,9.37553976010662
Kota Jakarta Utara,Perempuan,Married,1,SLTA,0.0,9.19,Creative & Design,Staff,1098328,0.0,High,Good,52.0,417,3294984,6589968,14278264,0.0,549164.0,1.14875,Mid-term,13.0,2,1,1098328.0,1,1098328.0,2.6,Medium,9.19
Kabupaten Bekasi,Perempuan,Married,3,D3,5.0,9.45,Finance & Accounting,Staff,3607822,0.0,High,Good,54.0,950,10823466,21646932,111842482,0.4736842105263158,901955.5,1.18125,Mid-term,5.166666666666667,4,1,3607822.0,4,901955.5,2.6,Medium,9.433070584020063
Tangerang,Perempuan,Married,0,SLTA,10.0,9.21,Finance & Accounting,Staff,2782419,0.0,Low,Low,40.0,792,8347257,16694514,72342894,1.1363636363636362,2782419.0,1.15125,Mid-term,2.363636363636364,1,1,2782419.0,1,2782419.0,1.0,Medium,9.170657838530545
Kota Jakarta Utara,Perempuan,Single,0,SLTA,4.0,9.89,Operations,Staff,1193287,0.0,Medium,Good,36.0,821,3579861,7159722,32218749,0.438489646772229,1193287.0,1.23625,Mid-term,5.4,1,1,1193287.0,1,1193287.0,2.0,Medium,9.87372686137392
Kabupaten Bogor,Laki-laki,Married,4,D1,1.0,9.84,Corporate Strategy & Communications,Staff,4756887,0.0,Medium,Excellent,45.0,558,14270661,28541322,85623966,0.1612903225806451,951377.4,1.23,Mid-term,9.0,5,1,4756887.0,2,2378443.5,2.4000000000000004,Medium,9.833929673041332
Tangerang,Perempuan,Single,0,SLTA,0.0,9.73,Marketing,Staff,1127481,0.0,Medium,Good,28.0,387,3382443,6764886,13529772,0.0,1127481.0,1.21625,Mid-term,12.0,1,1,1127481.0,1,1127481.0,2.0,Medium,9.73
Kota Jakarta Selatan,Perempuan,Married,2,SLTA,10.0,9.31,Finance & Accounting,Staff,1369169,0.0,High,Low,53.0,484,4107507,8215014,21906704,1.8595041322314048,456389.6666666667,1.16375,Mid-term,1.4545454545454546,3,1,1369169.0,1,1369169.0,2.2,Medium,9.245392088827204
Kota Bekasi,Perempuan,Married,2,D3,4.0,9.64,HR,Staff,3783141,0.0,High,Excellent,33.0,455,11349423,22698846,56747115,0.7912087912087913,1261047.0,1.205,Mid-term,3.0,3,1,3783141.0,4,945785.25,3.0,Medium,9.611458179126574
Kota Bogor,Perempuan,Married,2,SLTA,13.0,9.3,Engineering & IT,Staff,1527313,0.0,Medium,Good,37.0,449,4581939,9163878,21382382,2.6057906458797326,509104.3333333333,1.1625,Mid-term,1.0,3,1,1527313.0,1,1527313.0,2.0,Medium,9.204123711340207
Kota Bekasi,Laki-laki,Married,2,SLTA,1.0,9.67,Service & Support,Staff,2774049,0.0,Low,Good,47.0,794,8322147,16644294,72125274,0.1133501259445843,924683.0,1.20875,Mid-term,13.0,3,1,2774049.0,1,2774049.0,1.4,Medium,9.665869286629643
Tangerang,Perempuan,Married,2,SLTA,2.0,9.74,Creative & Design,Staff,2562052,0.0,Medium,Good,35.0,433,7686156,15372312,35868728,0.4157043879907621,854017.3333333334,1.2175,Mid-term,4.666666666666667,3,1,2562052.0,1,2562052.0,2.0,Medium,9.724551942902458
Kota Jakarta Timur,Laki-laki,Single,0,SLTA,5.0,9.64,Operations,Staff,1203354,0.0,Low,Low,26.0,554,3610062,7220124,21660372,0.8122743682310469,1203354.0,1.205,Mid-term,3.0,1,1,1203354.0,1,1203354.0,1.0,Medium,9.610265268352869
Kota Depok,Laki-laki,Single,0,SLTA,10.0,9.83,Service & Support,Staff,1942489,0.0,High,Good,29.0,394,5827467,11654934,25252357,2.284263959390863,1942489.0,1.22875,Mid-term,1.181818181818182,1,1,1942489.0,1,1942489.0,2.6,Medium,9.74605465414176
Kota Jakarta Pusat,Laki-laki,Married,2,D3,4.0,9.67,HR,Staff,4455742,0.0,Low,Excellent,38.0,990,13367226,26734452,147039486,0.3636363636363636,1485247.3333333333,1.20875,Mid-term,6.6,3,1,4455742.0,4,1113935.5,1.8000000000000005,Medium,9.656980814540558
Kota Jakarta Timur,Perempuan,Married,2,SLTA,12.0,9.33,Engineering & IT,Staff,2374686,0.0,Low,Excellent,28.0,789,7124058,14248116,61741836,1.368821292775665,791562.0,1.16625,Mid-term,2.0,3,1,2374686.0,1,2374686.0,1.8000000000000005,Medium,9.282174284493806
Kota Jakarta Pusat,Perempuan,Married,0,D2,2.0,9.61,Corporate Strategy & Communications,Staff,4338085,0.0,High,Low,32.0,792,13014255,26028510,112790210,0.2272727272727272,4338085.0,1.20125,Mid-term,8.666666666666666,1,1,4338085.0,3,1446028.3333333333,2.2,Medium,9.601789833404528
Kota Depok,Perempuan,Married,1,D3,2.0,9.77,Engineering & IT,Staff,3431514,0.0,Low,Low,37.0,795,10294542,20589084,89219364,0.2264150943396226,1715757.0,1.22125,Mid-term,8.666666666666666,2,1,3431514.0,4,857878.5,1.0,Medium,9.761653139683895
Kabupaten Bekasi,Perempuan,Married,2,SLTA,10.0,9.21,Engineering & IT,Staff,2218427,0.0,Medium,Low,49.0,409,6655281,13310562,28839551,2.2004889975550124,739475.6666666666,1.15125,Mid-term,1.181818181818182,3,1,2218427.0,1,2218427.0,1.6,Medium,9.13134927412468
Kota Bogor,Perempuan,Divorce,0,D1,8.0,9.2,Service & Support,Staff,3338185,0.0,Low,Good,46.0,830,10014555,20029110,90130995,0.8674698795180724,3338185.0,1.15,Mid-term,3.0,1,1,3338185.0,2,1669092.5,1.4,Medium,9.169724393253803
Tangerang,Perempuan,Single,0,SLTA,10.0,9.75,Service & Support,Staff,2583198,0.0,Medium,Excellent,24.0,420,7749594,15499188,36164772,2.142857142857143,2583198.0,1.21875,Mid-term,1.2727272727272727,1,1,2583198.0,1,2583198.0,2.4000000000000004,Medium,9.672680412371134
Kota Jakarta Selatan,Perempuan,Married,3,D2,5.0,9.58,Marketing,Staff,4162778,0.0,Low,Excellent,41.0,446,12488334,24976668,58278892,1.0089686098654709,1040694.5,1.1975,Mid-term,2.333333333333333,4,1,4162778.0,3,1387592.6666666667,1.8000000000000005,Medium,9.542014274385409
Kota Jakarta Timur,Laki-laki,Divorce,1,SLTA,7.0,9.28,Marketing,Staff,2655935,0.0,Low,Low,34.0,787,7967805,15935610,69054310,0.8005082592121983,1327967.5,1.16,Mid-term,3.25,1,1,2655935.0,1,2655935.0,1.0,Medium,9.25225117471166
Kota Bekasi,Perempuan,Married,2,D3,6.0,9.27,Engineering & IT,Staff,4508169,0.0,Medium,Excellent,46.0,434,13524507,27049014,63114366,1.2442396313364057,1502723.0,1.15875,Mid-term,2.0,3,1,4508169.0,4,1127042.25,2.4000000000000004,Medium,9.225892149088024
Tangerang,Laki-laki,Married,2,SLTA,6.0,9.03,Service & Support,Staff,1433182,0.0,Medium,Good,29.0,754,4299546,8599092,35829550,0.7161803713527851,477727.3333333333,1.12875,Mid-term,3.571428571428572,3,1,1433182.0,1,1433182.0,2.0,Medium,9.005930697467791
Kabupaten Bogor,Perempuan,Married,2,SLTA,9.0,9.05,Service & Support,Staff,2278593,0.0,Low,Excellent,40.0,423,6835779,13671558,31900302,1.9148936170212765,759531.0,1.13125,Mid-term,1.4,3,1,2278593.0,1,2278593.0,1.8000000000000005,Medium,8.985408406026963
Kota Jakarta Timur,Perempuan,Married,2,D1,8.0,9.43,HR,Staff,3535507,0.0,High,Low,45.0,573,10606521,21213042,67174633,1.256544502617801,1178502.3333333333,1.17875,Mid-term,2.111111111111111,3,1,3535507.0,2,1767753.5,2.2,Medium,9.385908825248393
Kota Jakarta Pusat,Perempuan,Married,1,SLTA,1.0,9.73,Service & Support,Staff,2403336,0.0,High,Excellent,26.0,785,7210008,14420016,62486736,0.1146496815286624,1201668.0,1.21625,Mid-term,13.0,2,1,2403336.0,1,2403336.0,3.0,Medium,9.725843656557029
Tangerang,Perempuan,Married,4,SLTA,2.0,9.49,Finance & Accounting,Staff,1393109,0.0,Low,Good,51.0,766,4179327,8358654,34827725,0.2349869451697128,278621.8,1.18625,Mid-term,8.333333333333334,5,1,1393109.0,1,1393109.0,1.4,Medium,9.481568191914706
Kota Bekasi,Perempuan,Married,1,SLTA,6.0,9.88,Finance & Accounting,Staff,2942346,0.0,Medium,Low,29.0,448,8827038,17654076,41192844,1.2053571428571428,1471173.0,1.235,Mid-term,2.0,2,1,2942346.0,1,2942346.0,1.6,Medium,9.83298969072165
Tangerang,Laki-laki,Married,2,SLTA,10.0,9.84,Finance & Accounting,Staff,1604547,0.0,Medium,Excellent,32.0,401,4813641,9627282,20859111,2.244389027431421,534849.0,1.23,Mid-term,1.181818181818182,3,1,1604547.0,1,1604547.0,2.4000000000000004,Medium,9.75596925704526
Kota Jakarta Barat,Perempuan,Married,0,SLTA,2.0,9.75,Engineering & IT,Staff,2945827,0.0,Medium,Good,42.0,460,8837481,17674962,44187405,0.391304347826087,2945827.0,1.21875,Mid-term,5.0,1,1,2945827.0,1,2945827.0,2.0,Medium,9.735566247224275
Kota Jakarta Utara,Laki-laki,Married,2,SLTA,0.0,9.53,Finance & Accounting,Staff,1386445,0.0,Medium,Low,45.0,614,4159335,8318670,27728900,0.0,462148.3333333333,1.19125,Mid-term,20.0,3,1,1386445.0,1,1386445.0,1.6,Medium,9.53
Kota Jakarta Barat,Laki-laki,Married,4,SLTA,5.0,9.51,Marketing,Staff,1684349,0.0,High,Low,55.0,793,5053047,10106094,43793074,0.5674653215636821,336869.8,1.18875,Mid-term,4.333333333333333,5,1,1684349.0,1,1684349.0,2.2,Medium,9.489688167449808
Kabupaten Bogor,Perempuan,Married,1,D3,1.0,9.02,Finance & Accounting,Staff,3575931,0.0,Low,Excellent,28.0,449,10727793,21455586,50063034,0.2004454342984409,1787965.5,1.1275,Mid-term,7.0,2,1,3575931.0,4,893982.75,1.8000000000000005,Medium,9.012846946867564
Kota Jakarta Barat,Laki-laki,Married,2,SLTA,13.0,9.32,Creative & Design,Staff,1866501,0.0,Low,Excellent,51.0,786,5599503,11199006,48529026,1.4885496183206108,622167.0,1.165,Mid-term,1.8571428571428568,3,1,1866501.0,1,1866501.0,1.8000000000000005,Medium,9.26824434002563
Kota Jakarta Barat,Perempuan,Married,0,SLTA,0.0,9.22,Marketing,Staff,1624116,0.0,High,Good,58.0,764,4872348,9744696,40602900,0.0,1624116.0,1.1525,Mid-term,25.0,1,1,1624116.0,1,1624116.0,2.6,Medium,9.22
Kota Jakarta Barat,Laki-laki,Married,2,SLTA,0.0,9.36,Operations,Staff,1510224,0.0,High,Good,26.0,427,4530672,9061344,21143136,0.0,503408.0,1.17,Mid-term,14.0,3,1,1510224.0,1,1510224.0,2.6,Medium,9.36
Kabupaten Bekasi,Perempuan,Married,1,SLTA,7.0,9.36,Creative & Design,Staff,2107566,0.0,Low,Good,26.0,436,6322698,12645396,29505924,1.444954128440367,1053783.0,1.17,Mid-term,1.75,2,1,2107566.0,1,2107566.0,1.4,Medium,9.308041237113402
Kepulauan Seribu,Laki-laki,Married,3,D2,0.0,9.56,Finance & Accounting,Staff,4965304,0.0,Low,Excellent,47.0,431,14895912,29791824,69514256,0.0,1241326.0,1.195,Mid-term,14.0,4,1,4965304.0,3,1655101.3333333333,1.8000000000000005,Medium,9.56
Kota Jakarta Utara,Laki-laki,Married,4,D2,5.0,9.18,Marketing,Staff,3980668,0.0,Medium,Good,36.0,432,11942004,23884008,55729352,1.0416666666666667,796133.6,1.1475,Mid-term,2.333333333333333,5,1,3980668.0,3,1326889.3333333333,2.0,Medium,9.143600317208564
Kota Jakarta Selatan,Laki-laki,Single,0,SLTA,8.0,9.67,Operations,Staff,1501795,0.0,Low,Low,26.0,807,4505385,9010770,39046670,0.8921933085501859,1501795.0,1.20875,Mid-term,2.888888888888889,1,1,1501795.0,1,1501795.0,1.0,Medium,9.636954293037164
Kota Jakarta Pusat,Perempuan,Married,2,D3,5.0,9.17,Creative & Design,Staff,3665753,0.0,High,Good,41.0,540,10997259,21994518,65983554,0.8333333333333334,1221917.6666666667,1.14625,Mid-term,3.0,3,1,3665753.0,4,916438.25,2.6,Medium,9.141714990746452
Kota Jakarta Barat,Laki-laki,Married,2,D2,5.0,9.9,Corporate Strategy & Communications,Staff,4588956,0.0,High,Low,40.0,825,13766868,27533736,123901812,0.5454545454545455,1529652.0,1.2375,Mid-term,4.5,3,1,4588956.0,3,1529652.0,2.2,Medium,9.879638009049774
Kota Jakarta Timur,Perempuan,Married,2,SLTA,11.0,9.71,Finance & Accounting,Staff,1340430,0.0,Medium,Good,29.0,779,4021290,8042580,33510750,1.270860077021823,446810.0,1.21375,Mid-term,2.083333333333333,3,1,1340430.0,1,1340430.0,2.0,Medium,9.66254997778765
Kota Bogor,Laki-laki,Single,0,SLTA,7.0,9.69,Engineering & IT,Staff,2419896,0.0,High,Low,26.0,434,7259688,14519376,33878544,1.4516129032258065,2419896.0,1.21125,Mid-term,1.75,1,1,2419896.0,1,2419896.0,2.2,Medium,9.636209357652657
Tangerang,Laki-laki,Married,1,D2,7.0,9.82,Finance & Accounting,Staff,3714640,0.0,Medium,Excellent,31.0,413,11143920,22287840,48290320,1.5254237288135597,1857320.0,1.2275,Mid-term,1.625,2,1,3714640.0,3,1238213.3333333333,2.4000000000000004,Medium,9.761298035866782
Kota Jakarta Timur,Perempuan,Divorce,1,SLTA,0.0,9.4,Operations,Staff,1222184,0.0,High,Low,30.0,750,3666552,7333104,30554600,0.0,611092.0,1.175,Mid-term,25.0,1,1,1222184.0,1,1222184.0,2.2,Medium,9.4
Kota Jakarta Utara,Laki-laki,Single,0,SLTA,0.0,9.35,Service & Support,Staff,2282381,0.0,High,Low,24.0,426,6847143,13694286,31953334,0.0,2282381.0,1.16875,Mid-term,14.0,1,1,2282381.0,1,2282381.0,2.2,Medium,9.35
Kota Depok,Laki-laki,Married,4,D3,0.0,9.07,Creative & Design,Staff,4699461,0.0,Low,Good,44.0,373,14098383,28196766,56393532,0.0,939892.2,1.13375,Mid-term,12.0,5,1,4699461.0,4,1174865.25,1.4,Medium,9.07
Kabupaten Bekasi,Laki-laki,Married,3,SLTA,6.0,9.27,Service & Support,Staff,2875653,0.0,High,Low,53.0,441,8626959,17253918,40259142,1.2244897959183672,718913.25,1.15875,Mid-term,2.0,4,1,2875653.0,1,2875653.0,2.2,Medium,9.225892149088024
Kota Jakarta Barat,Laki-laki,Married,2,SLTA,13.0,9.26,Corporate Strategy & Communications,Staff,1547661,0.0,Low,Good,44.0,444,4642983,9285966,21667254,2.635135135135135,515887.0,1.1575,Mid-term,1.0,3,1,1547661.0,1,1547661.0,1.4,Medium,9.164536082474228
Kota Bekasi,Laki-laki,Married,0,SLTA,2.0,9.31,Engineering & IT,Staff,2275334,0.0,Low,Low,26.0,443,6826002,13652004,31854676,0.4063205417607223,2275334.0,1.16375,Mid-term,4.666666666666667,1,1,2275334.0,1,2275334.0,1.0,Medium,9.295233941316416
Kabupaten Bekasi,Perempuan,Married,2,D1,3.0,9.65,Service & Support,Staff,3903337,0.0,High,Good,40.0,439,11710011,23420022,54646718,0.6150341685649202,1301112.3333333333,1.20625,Mid-term,3.5,3,1,3903337.0,2,1951668.5,2.6,Medium,9.627042030134811
Kota Jakarta Timur,Perempuan,Single,0,SLTA,13.0,9.31,Engineering & IT,Staff,1151106,0.0,High,Excellent,34.0,387,3453318,6906636,13813272,3.0232558139534884,1151106.0,1.16375,Mid-term,0.8571428571428571,1,1,1151106.0,1,1151106.0,3.0,Medium,9.19803885291397
Kota Jakarta Barat,Laki-laki,Married,2,SLTA,1.0,9.59,Operations,Staff,2730644,0.0,High,Low,49.0,817,8191932,16383864,73727388,0.1101591187270501,910214.6666666666,1.19875,Mid-term,13.5,3,1,2730644.0,1,2730644.0,2.2,Medium,9.586055121349238
Kabupaten Bogor,Laki-laki,Married,4,D2,0.0,9.11,Finance & Accounting,Staff,4488077,0.0,Low,Excellent,51.0,867,13464231,26928462,125666156,0.0,897615.4,1.13875,Mid-term,28.0,5,1,4488077.0,3,1496025.6666666667,1.8000000000000005,Medium,9.11
Kota Jakarta Barat,Perempuan,Married,2,SLTA,8.0,9.31,Creative & Design,Staff,2252793,0.0,Medium,Good,47.0,844,6758379,13516758,63078204,0.8530805687203791,750931.0,1.16375,Mid-term,3.111111111111111,3,1,2252793.0,1,2252793.0,2.0,Medium,9.280456168187229
Kota Depok,Laki-laki,Married,1,SLTA,5.0,9.31,Service & Support,Staff,2871963,0.0,Medium,Excellent,52.0,506,8615889,17231778,45951408,0.8893280632411068,1435981.5,1.16375,Mid-term,2.6666666666666665,2,1,2871963.0,1,2871963.0,2.4000000000000004,Medium,9.277696044413602
Kabupaten Bekasi,Perempuan,Single,0,SLTA,12.0,9.65,Service & Support,Staff,1997788,0.0,High,Good,26.0,450,5993364,11986728,29966820,2.4,1997788.0,1.20625,Mid-term,1.1538461538461535,1,1,1997788.0,1,1997788.0,2.6,Medium,9.564285714285717
Kabupaten Bogor,Laki-laki,Married,3,SLTA,0.0,9.25,Operations,Staff,1734797,0.0,Medium,Low,49.0,434,5204391,10408782,24287158,0.0,433699.25,1.15625,Mid-term,14.0,4,1,1734797.0,1,1734797.0,1.6,Medium,9.25
Kota Jakarta Barat,Laki-laki,Married,4,SLTA,0.0,9.61,HR,Staff,1157095,0.0,Low,Excellent,44.0,399,3471285,6942570,15042235,0.0,231419.0,1.20125,Mid-term,13.0,5,1,1157095.0,1,1157095.0,1.8000000000000005,Medium,9.61
Kota Jakarta Utara,Laki-laki,Married,3,SLTA,6.0,9.02,HR,Staff,2880218,0.0,Low,Low,46.0,507,8640654,17281308,46083488,1.0650887573964496,720054.5,1.1275,Mid-term,2.2857142857142856,4,1,2880218.0,1,2880218.0,1.0,Medium,8.982442748091604
Kabupaten Bekasi,Perempuan,Married,0,SLTA,4.0,9.61,Finance & Accounting,Staff,1260346,0.0,High,Excellent,23.0,444,3781038,7562076,17644844,0.8108108108108107,1260346.0,1.20125,Mid-term,2.8,1,1,1260346.0,1,1260346.0,3.0,Medium,9.579516256938938
Kota Jakarta Selatan,Perempuan,Married,2,SLTA,9.0,9.42,Operations,Staff,2332915,0.0,Low,Low,54.0,451,6998745,13997490,34993725,1.796008869179601,777638.3333333334,1.1775,Mid-term,1.5,3,1,2332915.0,1,2332915.0,1.0,Medium,9.357246484085865
Kota Jakarta Utara,Laki-laki,Married,2,SLTA,6.0,9.6,Marketing,Staff,2041027,0.0,Low,Excellent,49.0,411,6123081,12246162,26533351,1.3138686131386863,680342.3333333334,1.2,Mid-term,1.8571428571428568,3,1,2041027.0,1,2041027.0,1.8000000000000005,Medium,9.550811272416738
Tangerang,Perempuan,Married,3,SLTA,0.0,9.24,Service & Support,Staff,1182315,0.0,High,Low,50.0,754,3546945,7093890,29557875,0.0,295578.75,1.155,Mid-term,25.0,4,1,1182315.0,1,1182315.0,2.2,Medium,9.24
Kota Depok,Laki-laki,Married,1,SLTA,12.0,9.07,Marketing,Staff,1824329,0.0,High,Low,29.0,390,5472987,10945974,23716277,2.7692307692307696,912164.5,1.13375,Mid-term,1.0,2,1,1824329.0,1,1824329.0,2.2,Medium,8.977053800170795
Kepulauan Seribu,Perempuan,Married,2,SLTA,0.0,9.7,Corporate Strategy & Communications,Staff,2974315,0.0,High,Excellent,46.0,831,8922945,17845890,80306505,0.0,991438.3333333334,1.2125,Mid-term,27.0,3,1,2974315.0,1,2974315.0,3.0,Medium,9.7
Kota Jakarta Timur,Laki-laki,Married,3,SLTA,0.0,9.33,Corporate Strategy & Communications,Staff,1142651,0.0,High,Low,37.0,764,3427953,6855906,28566275,0.0,285662.75,1.16625,Mid-term,25.0,4,1,1142651.0,1,1142651.0,2.2,Medium,9.33
Kabupaten Bekasi,Perempuan,Married,2,SLTA,7.0,9.2,Marketing,Staff,2357977,0.0,Low,Low,40.0,804,7073931,14147862,61307402,0.7835820895522387,785992.3333333334,1.15,Mid-term,3.25,3,1,2357977.0,1,2357977.0,1.0,Medium,9.172490388722768
Kota Depok,Perempuan,Married,1,D1,4.0,9.28,Finance & Accounting,Staff,3813071,0.0,High,Low,42.0,680,11439213,22878426,83887562,0.5294117647058824,1906535.5,1.16,Mid-term,4.4,2,1,3813071.0,2,1906535.5,2.2,Medium,9.261261988894498
Kabupaten Bogor,Perempuan,Divorce,0,SLTA,11.0,9.52,Engineering & IT,Staff,2226127,0.0,Low,Good,29.0,454,6678381,13356762,33391905,2.1806167400881056,2226127.0,1.19,Mid-term,1.25,1,1,2226127.0,1,2226127.0,1.4,Medium,9.442487046632124
Kabupaten Bekasi,Perempuan,Married,2,D2,6.0,9.59,Marketing,Staff,4936335,0.0,High,Excellent,45.0,1054,14809005,29618010,172771725,0.5123339658444023,1645445.0,1.19875,Mid-term,5.0,3,1,4936335.0,3,1645445.0,3.0,Medium,9.571739130434782
Kepulauan Seribu,Laki-laki,Single,0,D3,6.0,9.59,Service & Support,Staff,3018373,0.0,High,Good,26.0,779,9055119,18110238,75459325,0.693196405648267,3018373.0,1.19875,Mid-term,3.571428571428572,1,1,3018373.0,4,754593.25,2.6,Medium,9.564438027543314
